maximum_road_operating_speed_km_per_h,-0.1,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
0-10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11-20,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19
21-30,33,33,32,32,32,31,31,31,30,30,30,30,30,29,29,29,29,29,29,28,28
31-40,51,50,49,49,48,48,47,46,46,45,45,45,44,44,43,43,43,42,42,42,42
41-50,76,75,73,72,71,70,69,68,67,66,65,64,63,63,62,61,61,60,60,59,59
51-60,104,101,99,97,95,93,91,89,88,86,85,84,83,81,80,79,78,77,77,76,75
61-70,140,135,132,128,125,122,119,117,114,112,110,108,106,105,103,101,100,99,97,96,95
71-80,182,176,171,166,161,157,153,149,146,143,140,137,135,132,130,128,126,124,122,121,119
81-90,223,216,209,202,197,191,186,182,178,174,170,167,163,160,157,155,152,150,148,145,143
91-100,281,271,262,253,245,238,232,226,220,215,210,205,201,197,194,190,187,184,181,178,175
101-110,345,331,318,307,296,287,278,270,263,256,250,244,239,234,229,224,220,216,307,209,205
